population, health, health_decay_rate, mating_cooldown_seconds, reproduction_time_seconds, grow_into_adult_duration_seconds
56, 98.89286, 1.090925, 59.01786, 5.034423, 99.80357
60, 99.03333, 1.093799, 59.06667, 5.054416, 99.71667
63, 99.15873, 1.099576, 58.98413, 5.041119, 99.68254
65, 99.09231, 1.104011, 58.96923, 5.037138, 99.61539
65, 99.09231, 1.104011, 58.96923, 5.037138, 99.61539
68, 99, 1.106109, 59.11765, 5.032608, 99.54412
80, 98.8, 1.097317, 59.0125, 5.029389, 99.4375
83, 98.83132, 1.09458, 58.86747, 5.033598, 99.39759
87, 98.78161, 1.100254, 58.83908, 5.017962, 99.39081
87, 98.78161, 1.100254, 58.83908, 5.017962, 99.39081
88, 98.77273, 1.099114, 58.85227, 5.023063, 99.35227
92, 98.91304, 1.101748, 58.8587, 5.010996, 99.27174
101, 98.67326, 1.108239, 58.56436, 5.032004, 99.24753
107, 98.50467, 1.112792, 58.71963, 5.035914, 99.18691
112, 98.375, 1.11221, 58.74107, 5.033747, 99.1875
111, 98.37838, 1.108411, 58.72072, 5.030765, 99.18018
113, 98.32743, 1.106493, 58.70797, 5.037819, 99.07964
117, 98.35043, 1.104672, 58.50427, 5.045805, 99
122, 98.38525, 1.105051, 58.45901, 5.038227, 98.95901
125, 98.424, 1.111893, 58.448, 5.023103, 98.944
132, 98.68182, 1.120616, 58.43182, 5.025486, 98.81818
137, 98.86861, 1.125571, 58.26278, 5.027832, 98.85401
141, 98.80851, 1.120351, 58.22695, 5.016592, 98.85815
141, 98.70213, 1.119795, 58.11348, 5.027495, 98.82979
139, 98.61151, 1.112099, 58, 5.01252, 98.79137
127, 98.59843, 1.092136, 57.9685, 5.023296, 98.77953
115, 98.75652, 1.077178, 58, 5.023456, 98.56522
105, 98.90476, 1.072513, 57.96191, 4.98545, 98.55238
92, 99.04348, 1.084485, 57.80435, 4.966219, 98.36957
79, 99.11392, 1.075882, 58.02532, 4.962931, 98.25317
80, 99.2875, 1.084276, 57.9875, 4.983013, 98.0875
